Entity_A,Entity_B,Entity_C,Link_Type,End_Date_Entity_A,Start_Date_Entity_B
Heidi Coleman,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Rebecca Madden,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
April Jarvis,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
Kyle Anderson,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
Angelica Williams,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
Daniel Shaffer,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
Dr. Richard Goodwin,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
James Knox,Adelmo Nitti,Wright LLC,Event.Owns.BeneficialOwnership,2035-08-10,2035-08-10
James Costa,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Angela Perez,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Brittany Hudson,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Trevor Jordan,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Alex Gilmore,Oscar Moore,Patel-Miller,Event.Owns.BeneficialOwnership,2035-03-06,2035-03-06
Mark Davis,Joseph Escobar,"Perez, Lopez and White",Event.Owns.BeneficialOwnership,2035-05-27,2035-05-27
Rachel Gomez,Matthew Knight MD,Lee-Contreras,Event.Owns.BeneficialOwnership,2035-07-26,2035-07-26
Jodi Brooks,Matthew Knight MD,Lee-Contreras,Event.Owns.BeneficialOwnership,2035-07-26,2035-07-26
Nicholas Valenzuela,Matthew Knight MD,Lee-Contreras,Event.Owns.BeneficialOwnership,2035-07-26,2035-07-26
Jennifer Davies,Jessica Cochran,Crosby Ltd,Event.Owns.BeneficialOwnership,2035-03-03,2035-03-03
Traci York,Jessica Cochran,Crosby Ltd,Event.Owns.BeneficialOwnership,2035-03-03,2035-03-03
Raven Kelly,Jessica Cochran,Crosby Ltd,Event.Owns.BeneficialOwnership,2035-03-03,2035-03-03
Brandon Moreno,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Bryan Murray,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Katelyn Roth,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Mrs. Cynthia Jenkins,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Michael Nguyen,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Robert Howell,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
Joanne Lee,Ashley Boone,Duncan-Williams,Event.Owns.BeneficialOwnership,2035-01-01,2035-01-01
